ID,Rank,Name,Name2,Tnstagram,Textcolor,Country,Location,Federation,Date,Country2,Region,Fed-version,Sex,Equiptment,Age,Age_Class,Weight,Weight_Class,Squat,Bench,Deadlift,Total,Dots
62,63,Keenan Lee,keenanlee,arandomkoreandude,,South Korea,,USAPL,2022-12-17,South Korea,,usapl/KOR-2022-02,M,Raw,28~,MR-O,102.9,110,362.5,217.5,377.5,957.5,582.16
63,64,Andrzej Stanaszek,andrzejstanaszek,,,Poland,,EPF,2002-05-09,Sweden,,epf/0201,M,Raw,30~,Open,51.3,52,290,170,140,600,582.15
64,65,Jenn Rotsinger,jennrotsinger,jrotsinger,rainbow,USA,,USPA,2019-08-03,USA,TX,uspa/1539,F,Raw,41,Open,50.2,52,167.5,95,202.5,465,581.00
65,66,Josh Lentz,joshlentz,jlentz220,,USA,USA-IA,USPA,2019-10-12,USA,IL,uspa/1607,M,Raw,31,Open,97.9,100,347.5,250,337.5,935,580.90
66,67,Luke Nall,lukenall,lukenall56,,USA,USA-IL,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Raw,28,Open,155.3,140+,432.5,277.5,380,1090,580.77
67,68,Kjell Egil Bakkelund,kjellegilbakkelund,kjelllbrell,,Norway,,EPF,2023-12-04,Estonia,,epf/2310,M,Raw,34~,Open,73.6,74,262.5,207.5,330,800,580.71
68,69,Husameddin Ateyia,husameddinateyia,,,USA,USA-MI,WRPF,2023-05-07,USA,NV,wrpf-usa/2338,M,Raw,28,Open,109.2,110,385,227.5,365,977.5,580.44
69,70,Daniel Clements,danielclements,danlsann,,USA,USA-VA,USAPL,2023-09-14,USA,TN,usapl/NS-2023-03-K,M,Raw,27,MR-O,66.7,67.5,260,162.5,323,745.5,579.22
70,71,Joe Sullivan,joesullivan,joesullivan_aod,lightblue,USA,USA-NV,WRPF,2023-03-25,USA,,wrpf-usa/2313,M,Raw,29,Open,99.9,100,386,225,327.5,938.5,577.91
71,72,Sergey Fedosienko,sergeyfedosienko,sergey_fedosienko,,Russia,,FPR,2015-12-24,Russia,NIZ,fpr/1501,M,Raw,33,Open,58.5,59,226.5,170.5,273,670,577.54
72,73,Dennis Cornelius,denniscornelius,denniscornelius500,,USA,USA-OK,USPA,2017-12-02,USA,OK,uspa/0999,M,Raw,37,Open,124.7,125,410,260,345,1015,575.69
73,74,April Mathis,aprilmathis,,,USA,,APF,2010-06-05,USA,FL,apf/1035,F,Raw,22~,F_OR_APF,113.4,90+,272.1,174.6,258.5,705.3,575.65
74,75,Joseph Borenstein,josephborenstein,joe.borenstein,blue_to_purple_to_red,USA,USA-FL,USAPL,2023-09-14,USA,TN,usapl/NS-2023-03-K,M,Raw,20,MR-O,74.7,75,272.5,190,338,800.5,575.33
75,76,Brandon Pitre,brandonpitre,bllessedt,,USA,USA-TX,USAPL,2023-06-03,USA,SC,usapl/SC-2023-03,M,Raw,27~,MR-O,89.7,,310,205,372.5,887.5,574.83
76,77,Joy Nnamani,joynnamani,j_nnamani,,England,,IPF,2023-03-25,UK,,ipf/2301,F,Raw,30~,Open,56.8,,170,100,230.5,500.5,574.74
77,78,Bryan Duncan,bryanduncan,,,USA,USA-NJ,WRPF,2023-10-28,USA,VA,wrpf-usa/23e1,M,Raw,24,Open,107.9,110,317.5,217.5,427.5,962.5,574.27
78,79,Tamara Walcott,tamarawalcott,plussize_fitqueen4.0,,US Virgin Islands,,WRPF,2022-07-29,USA,VA,wrpf-usa/2224,F,Raw,38,Open,134.3,140,272.5,172.5,290,735,574.17
79,80,Chloe Lansing,chloelansing,chlo.mae.l,blue_to_lightblue,USA,,WRPF,2021-02-20,USA,FL,wrpf-usa/2103,F,Raw,29,Open,67.3,67.5,207.5,110,237.5,555,573.96
80,81,Panagiotis Perentis,panagiotisperentis,panagiotis_perentis,,Greece,,WRPF,2023-02-18,USA,FL,wrpf-usa/2306,M,Raw,29,Pro Open,88.5,90,320,185,375,880,573.90
81,82,Tess Heaslip,tessheaslip,tessredsky,,USA,USA-LA,USPA,2018-08-25,USA,TX,uspa/1212,F,Raw,25,Open,74.7,75,227.5,135.5,227.5,587.5,573.43
82,83,Stan Efferding,stanefferding,stanefferding,,USA,,SPF,2011-05-15,USA,CA,spf-archive/0178,M,Raw,43,Heavy,124.7,125,387.5,275,347.5,1010,572.80
83,84,Timothy Monigatti,timothymonigatti,tim_monigatti,,New Zealand,,IPF,2024-02-10,UK,,ipf/2401,M,Raw,27,Open,73.7,,288.5,170,331,789.5,572.79
84,85,Russel Orhii,russelorhii,russwole,,USA,USA-TX,USAPL,2022-12-17,South Korea,,usapl/KOR-2022-02,M,Raw,27~,MR-O,89.8,90,340,195,350,885,572.69
85,86,Kiersten Scurlock,kierstenscurlock,scurko_savage,,USA,USA-IL,USPA,2022-01-15,USA,FL,uspa/2359,F,Raw,29,Open,102.8,110,265,155,257.5,677.5,572.08
86,87,Brandon Striegel,brandonstriegel,brandon_striegel,,USA,USA-IN,USPA,2021-12-05,USA,KY,uspa/2323,M,Raw,22,Open,108.6,110,330,220,410,960,571.35
87,88,Dwardly Edouard,dwardlyedouard,debo_flex,,USA,USA-DE,WRPF,2023-10-27,USA,VA,wrpf-usa/23e0,M,Raw,27,Open,97.6,100,335,215,367.5,917.5,570.68
